idService,app,time,action
120,1,6900,nop
117,3,6900,nop
115,4,6900,nop
113,6,6900,nop
111,3,6900,nop
109,1,6900,nop
105,2,6900,nop
103,3,6900,nop
101,3,6900,nop
99,1,6900,nop
97,1,6900,nop
95,3,6900,nop
93,3,6900,nop
91,2,6900,nop
89,1,6900,nop
87,1,6900,nop
85,2,6900,nop
83,3,6900,nop
81,5,6900,nop
79,3,6900,nop
77,2,6900,nop
75,1,6900,nop
73,1,6900,nop
71,2,6900,nop
67,4,6900,nop
65,5,6900,nop
7,6,6900,nop
6,5,6900,nop
5,4,6900,nop
3,2,6900,nop
2,1,6900,nop
122,3,7100,nop
120,1,7100,nop
117,3,7100,nop
115,4,7100,nop
113,6,7100,nop
111,3,7100,nop
109,1,7100,nop
105,2,7100,nop
103,3,7100,nop
101,3,7100,nop
99,1,7100,nop
97,1,7100,nop
95,3,7100,nop
93,3,7100,nop
91,2,7100,nop
89,1,7100,nop
87,1,7100,nop
85,2,7100,nop
83,3,7100,nop
81,5,7100,nop
79,3,7100,nop
77,2,7100,nop
75,1,7100,nop
73,1,7100,nop
71,2,7100,nop
67,4,7100,nop
65,5,7100,nop
7,6,7100,nop
6,5,7100,nop
5,4,7100,nop
3,2,7100,nop
2,1,7100,nop
122,3,7300,nop
120,1,7300,nop
117,3,7300,nop
115,4,7300,nop
113,6,7300,nop
111,3,7300,nop
109,1,7300,nop
105,2,7300,nop
103,3,7300,nop
101,3,7300,nop
99,1,7300,nop
97,1,7300,nop
95,3,7300,nop
93,3,7300,nop
91,2,7300,nop
89,1,7300,nop
87,1,7300,nop
85,2,7300,nop
83,3,7300,nop
81,5,7300,nop
79,3,7300,nop
77,2,7300,nop
75,1,7300,nop
73,1,7300,nop
71,2,7300,nop
67,4,7300,nop
65,5,7300,nop
7,6,7300,nop
6,5,7300,nop
5,4,7300,nop
3,2,7300,nop
2,1,7300,nop
122,3,7500,nop
120,1,7500,nop
117,3,7500,nop
115,4,7500,nop
113,6,7500,nop
111,3,7500,nop
109,1,7500,nop
105,2,7500,nop
103,3,7500,nop
101,3,7500,nop
99,1,7500,nop
97,1,7500,nop
95,3,7500,nop
93,3,7500,nop
91,2,7500,nop
89,1,7500,nop
87,1,7500,nop
85,2,7500,nop
83,3,7500,nop
81,5,7500,nop
79,3,7500,nop
77,2,7500,nop
75,1,7500,nop
73,1,7500,nop
71,2,7500,nop
67,4,7500,nop
65,5,7500,nop
7,6,7500,nop
6,5,7500,nop
5,4,7500,nop
3,2,7500,nop
2,1,7500,nop
122,3,7700,nop
120,1,7700,nop
117,3,7700,nop
115,4,7700,nop
113,6,7700,nop
111,3,7700,nop
109,1,7700,nop
105,2,7700,nop
103,3,7700,nop
101,3,7700,nop
99,1,7700,nop
97,1,7700,nop
95,3,7700,nop
93,3,7700,nop
91,2,7700,nop
89,1,7700,nop
87,1,7700,nop
85,2,7700,nop
83,3,7700,nop
81,5,7700,nop
79,3,7700,nop
77,2,7700,nop
75,1,7700,nop
73,1,7700,nop
71,2,7700,nop
67,4,7700,nop
65,5,7700,nop
7,6,7700,nop
6,5,7700,nop
5,4,7700,nop
3,2,7700,nop
2,1,7700,nop
122,3,7900,nop
120,1,7900,nop
117,3,7900,nop
115,4,7900,nop
113,6,7900,nop
111,3,7900,nop
109,1,7900,nop
105,2,7900,nop
103,3,7900,nop
101,3,7900,nop
99,1,7900,nop
97,1,7900,nop
95,3,7900,nop
93,3,7900,nop
91,2,7900,nop
89,1,7900,nop
87,1,7900,nop
85,2,7900,nop
83,3,7900,nop
81,5,7900,nop
79,3,7900,nop
77,2,7900,nop
75,1,7900,nop
73,1,7900,nop
71,2,7900,nop
67,4,7900,nop
